0; 0; 1,47983; 100; 0; 
0,01; 0,014796; 1,47937; 99,9995; -0,0981467; 
0,02; 0,0295874; 1,47891; 99,998; -0,196289; 
0,03; 0,0443742; 1,47845; 99,9956; -0,294424; 
0,04; 0,0591565; 1,478; 99,9921; -0,392546; 
0,05; 0,0739342; 1,47755; 99,9877; -0,490651; 
0,06; 0,0887074; 1,4771; 99,9823; -0,588737; 
0,07; 0,103476; 1,47666; 99,976; -0,686797; 
0,08; 0,118241; 1,47622; 99,9686; -0,784829; 
0,09; 0,133001; 1,47578; 99,9603; -0,882828; 
0,1; 0,147756; 1,47535; 99,9509; -0,980791; 
0,11; 0,162508; 1,47492; 99,9406; -1,07871; 
0,12; 0,177255; 1,47449; 99,9294; -1,17659; 
0,13; 0,191997; 1,47407; 99,9171; -1,27442; 
0,14; 0,206736; 1,47365; 99,9039; -1,37219; 
0,15; 0,22147; 1,47323; 99,8897; -1,46991; 
0,16; 0,236201; 1,47282; 99,8745; -1,56757; 
0,17; 0,250927; 1,47241; 99,8583; -1,66516; 
0,18; 0,265649; 1,47201; 99,8412; -1,76268; 
0,19; 0,280367; 1,4716; 99,8231; -1,86013; 
0,2; 0,295081; 1,4712; 99,804; -1,9575; 
0,21; 0,309791; 1,47081; 99,7839; -2,05479; 
0,22; 0,324497; 1,47042; 99,7629; -2,152; 
0,23; 0,339199; 1,47003; 99,7409; -2,24912; 
0,24; 0,353898; 1,46964; 99,7179; -2,34614; 
0,25; 0,368592; 1,46926; 99,694; -2,44307; 
0,26; 0,383283; 1,46888; 99,669; -2,53989; 
0,27; 0,39797; 1,4685; 99,6432; -2,63662; 
0,28; 0,412653; 1,46813; 99,6163; -2,73323; 
0,29; 0,427333; 1,46776; 99,5885; -2,82973; 
0,3; 0,442008; 1,4674; 99,5597; -2,92612; 
0,31; 0,45668; 1,46703; 99,53; -3,02238; 
0,32; 0,471349; 1,46667; 99,4993; -3,11853; 
0,33; 0,486014; 1,46632; 99,4676; -3,21454; 
0,34; 0,500675; 1,46597; 99,435; -3,31043; 
0,35; 0,515333; 1,46562; 99,4014; -3,40617; 
0,36; 0,529988; 1,46527; 99,3669; -3,50178; 
0,37; 0,544639; 1,46493; 99,3314; -3,59725; 
0,38; 0,559286; 1,46459; 99,2949; -3,69257; 
0,39; 0,57393; 1,46425; 99,2575; -3,78775; 
0,4; 0,588571; 1,46392; 99,2192; -3,88277; 
0,41; 0,603209; 1,46359; 99,1799; -3,97763; 
0,42; 0,617843; 1,46326; 99,1396; -4,07233; 
0,43; 0,632474; 1,46294; 99,0984; -4,16687; 
0,44; 0,647102; 1,46262; 99,0563; -4,26124; 
0,45; 0,661727; 1,4623; 99,0132; -4,35544; 
0,46; 0,676348; 1,46199; 98,9692; -4,44946; 
0,47; 0,690966; 1,46168; 98,9242; -4,54331; 
0,48; 0,705582; 1,46137; 98,8783; -4,63698; 
0,49; 0,720194; 1,46107; 98,8315; -4,73046; 
0,5; 0,734803; 1,46077; 98,7837; -4,82376; 
0,51; 0,749409; 1,46047; 98,735; -4,91686; 
0,52; 0,764012; 1,46017; 98,6853; -5,00977; 
0,53; 0,778613; 1,45988; 98,6348; -5,10248; 
0,54; 0,79321; 1,45959; 98,5833; -5,19499; 
0,55; 0,807804; 1,45931; 98,5309; -5,28729; 
0,56; 0,822396; 1,45903; 98,4776; -5,37939; 
0,57; 0,836985; 1,45875; 98,4233; -5,47128; 
