737.9;25.025;199.99;49.597;3.0138;0.043368;163
511.71;38.446;200.07;24.26;0.72137;0.75847;161
851.94;44.278;200.27;21.532;0.56882;1.2259;161
530.49;22.878;200.09;20.224;0.50137;1.5708;163
322.61;22.916;200.04;19.361;0.45938;1.8687;163
787.84;38.301;199.96;19.382;0.46019;1.8585;161
980.17;45.711;200.01;19.112;0.44754;1.9672;261
379.68;13.816;200;20.695;0.52475;1.4307;263
708.03;13.345;200;21.029;0.54182;1.342;261
774.95;39.438;200.06;19.052;0.44487;1.9936;161
321.04;21.364;200.03;19.27;0.45503;1.9042;163
633.4;35.059;200.16;19.074;0.4461;1.9875;161
950.91;49.242;200.24;19.38;0.46074;1.8671;161
245.01;24.502;200.67;18.958;0.44185;2.0522;163
916.72;42.114;200.18;19.355;0.4594;1.8753;161
212.56;35.069;200.31;18.947;0.44051;2.0462;161
965.64;20.671;199.51;18.924;0.43769;2.0316;165
687.85;32.698;200.21;19.093;0.44714;1.981;161
958.45;17.59;200.01;18.959;0.44041;2.0316;361
528.29;21.88;200.07;19.227;0.4531;1.9222;163
657.47;35.402;200.01;19.186;0.45102;1.937;261
852.23;46.664;200;19.16;0.44978;1.9475;261
691.26;37.699;200.07;19.34;0.45842;1.8779;161
335.77;18.439;200;19.024;0.44341;2.0039;261
355.91;36.746;200.04;19.287;0.45586;1.8976;161
516.62;49.028;201.45;18.982;0.4447;2.0656;259
779.55;36.206;200.26;19.314;0.45764;1.8935;161
997.77;26.571;200;19.171;0.45029;1.943;263
993.61;43.16;200.01;19.219;0.45259;1.9238;259
230.19;46.014;200.17;18.941;0.43995;2.0443;163
614.99;32.626;200.06;19.021;0.44341;2.0068;161
523.84;17.177;200;19.059;0.44506;1.9889;261
339.16;40.974;200.04;19.101;0.44714;1.9727;161
925.19;44.684;200.07;18.992;0.44207;2.0195;161
984.81;46.075;200.01;19.132;0.44848;1.9591;259
929.18;38.184;336.82;22.53;1.0474;4.865;261
758.92;38.138;200;19.218;0.45253;1.9239;261
319.45;37.123;200.01;19.11;0.44746;1.968;163
374.75;31.065;200;19.493;0.46556;1.8177;361
498.28;20.522;200.13;19.335;0.45834;1.8816;163
247;41.265;200.03;18.941;0.43964;2.0398;161
870.28;49.665;200.17;19.226;0.45328;1.9255;161
449.95;47.853;201.28;18.977;0.44407;2.0627;261
345.19;12.232;200;22.41;0.61532;1.0406;263
865.72;15.905;200;19.333;0.45794;1.8787;261
620.44;31.553;278.29;21.141;0.76198;3.5395;261
488.48;36.422;200.06;18.964;0.44076;2.0311;161
964.11;26.955;200.1;18.995;0.44229;2.0189;163
280.86;37.221;200.04;19.182;0.4509;1.9395;163
727.56;36.052;200.01;19.16;0.44983;1.9475;261
804.73;36.501;200.24;19.049;0.44512;2.0004;161
326.16;39.535;200;19.124;0.44808;1.962;263
311.78;12.039;200;22.875;0.64114;0.95843;263
419.11;18.647;200.09;18.969;0.44107;2.0296;165
899.03;48.607;200.23;19.075;0.44629;1.9893;161
663.29;25.642;200;19.133;0.44853;1.9583;263
791.71;10.377;200;27.64;0.93604;0.44964;263
753.47;21.588;199.82;18.935;0.4389;2.036;163
733.34;16.568;200;19.172;0.45034;1.9426;261
801.49;37.223;200.01;19.221;0.45268;1.9229;259
565.09;38.434;200.06;18.948;0.44004;2.0378;161
814.62;31.481;999.61;50.115;15.38;5.1945;357
528.79;38.167;200.15;19.242;0.45397;1.9186;161
896.09;22.563;200.24;19.351;0.45935;1.8784;163
278.56;37.479;200;19.066;0.44541;1.986;161
564.46;26.971;200.12;19.011;0.44311;2.0127;161
502.43;40.969;200.12;19.109;0.44767;1.9716;161
878.24;49.735;804.72;43.019;9.1231;4.9917;261
372.52;49.79;294.01;21.531;0.83496;3.8796;165
771.58;30.374;1000.2;50.077;15.365;5.2195;261
696.23;43.928;200.12;19.347;0.45891;1.8764;161
918.86;29.787;200.25;19.114;0.44818;1.9736;163
443.02;46.76;200;19.23;0.45309;1.919;161
406.67;10.88;200;25.588;0.80223;0.61217;261
968.61;44.202;200;19.07;0.44555;1.9846;161
810.84;20.933;200;19.155;0.44957;1.9492;263
211.72;23.164;200;19.074;0.44577;1.9828;163
966.74;22.292;200.31;19.081;0.44676;1.9892;163
980.81;32.354;200.12;19.302;0.45674;1.894;161
640.3;32.731;200.01;19.109;0.44741;1.9684;261
825.01;47.707;200.21;19.311;0.45738;1.8931;161
317.81;15.373;200;19.655;0.47333;1.7584;261
937.54;24.723;200;19.129;0.44831;1.9602;263
792.15;41.734;200.09;18.975;0.44135;2.0268;161
304.02;19.135;200;19.132;0.44848;1.9587;261
225.07;49.223;200.01;19.422;0.46218;1.8447;163
898.38;48.313;200.31;19.357;0.45981;1.878;161
975.13;35.593;200.18;19.057;0.44533;1.9952;161
842.98;28.003;200;19.135;0.44863;1.9574;263
690.96;37.273;200.22;19.277;0.45579;1.9068;161
659.42;22.002;200.1;19.35;0.459;1.8748;163
450.1;44.366;200.09;19.226;0.45307;1.9236;161
452.7;16.826;200;19.13;0.44837;1.9597;261
630.05;38.785;200.08;19.305;0.45682;1.8918;161
820.02;36.6;299.49;21.665;0.86116;4.0001;263
986.01;27.593;200.05;19.287;0.4559;1.898;163
831.47;42.54;200;19.158;0.4497;1.9483;259
473.35;28.87;200.06;19.106;0.44735;1.9713;163
602.19;33.199;200.01;19.026;0.44354;2.003;161
598.63;19.977;200.05;19.351;0.4589;1.8729;163
825.01;14.352;200;20.127;0.49632;1.5993;263

